GJOIN2010,GJOIN2020,WEIGHT,PAREA
G36004700011001009,G36004700011001008,1.0,1.0
G36004700011001010,G36004700011001000,1.0,1.0
G36004700011001011,G36004700011001000,1.0,1.0
G36004700011001012,G36004700011001009,0.0,0.138109572547
G36004700011001012,G36004700011001010,1.0,0.861890427453
G36004700011001013,G36004700011001011,1.0,1.0
G36004700013001000,G36004700013001000,1.0,1.0
G36004700013001001,G36004700013001000,1.0,1.0
G36004700013001002,G36004700013001017,0.0,0.011098958966
G36004700013001002,G36004700013001019,1.0,0.988901041034
G36004700013001003,G36004700013001017,0.0,0.007692307692
G36004700013001003,G36004700013001019,1.0,0.992307692308
G36004700013001004,G36004700013001017,0.425732352562,0.425732352562
G36004700013001004,G36004700013001018,0.574267647438,0.574267647438
G36004700013001005,G36004700013001024,1.0,1.0
G36004700013001006,G36004700013001002,1.0,1.0
G36004700013001007,G36004700013001003,1.0,1.0
G36004700013001008,G36004700013001004,0.0,0.43057591623
G36004700013001008,G36004700013001005,1.0,0.316858638743
G36004700013001008,G36004700013001006,0.0,0.190157068063
G36004700013001008,G36004700013001007,0.0,0.062408376963
G36004700013001009,G36004700013001006,1.0,1.0
G36004700013001010,G36004700013001007,1.0,1.0
G36004700013001011,G36004700013001005,1.0,0.889400921659
G36004700013001011,G36004700013001007,0.0,0.110599078341
G36004700013001012,G36004700013001007,0.0,0.076206700738
G36004700013001012,G36004700013001008,1.0,0.923793299262
G36004700013001013,G36004700013001009,1.0,1.0
G36004700013001014,G36004700013001010,0.0,0.172973850901
G36004700013001014,G36004700013001011,1.0,0.754466460939
G36004700013001014,G36004700013001012,0.0,0.07255968816
G36004700013001015,G36004700013001001,0.0,0.148831553347
G36004700013001015,G36004700013001013,1.0,0.778206619435
G36004700013001015,G36004700013001014,0.0,0.072961827218
G36004700013001016,G36004700013001015,0.0,0.096758073584
G36004700013001016,G36004700013001016,0.0,0.165969142357
G36004700013001016,G36004700013001020,1.0,0.668186645012
