GJOIN2010,GJOIN2020,WEIGHT,PAREA
G36004700229003000,G36004700229003000,1.0,1.0
G36004700229003001,G36004700229003001,1.0,1.0
G36004700229004000,G36004700229004000,1.0,1.0
G36004700229004001,G36004700229004001,1.0,1.0
G36004700229004002,G36004700229004002,1.0,1.0
G36004700230001000,G36004700230001000,1.0,1.0
G36004700230001001,G36004700230001001,1.0,1.0
G36004700230001002,G36004700230001002,1.0,1.0
G36004700230001003,G36004700230001003,1.0,1.0
G36004700230002000,G36004700230002000,1.0,1.0
G36004700230002001,G36004700230002001,0.328715365239,0.418138424821
G36004700230002001,G36004700230002002,0.671284634761,0.581861575179
G36004700230003000,G36004700230003000,1.0,1.0
G36004700230003001,G36004700230003001,1.0,1.0
G36004700230003002,G36004700230003002,1.0,1.0
G36004700231001000,G36004700231001000,1.0,1.0
G36004700231001001,G36004700231001001,1.0,1.0
G36004700231002000,G36004700231002000,1.0,1.0
G36004700231002001,G36004700231002001,1.0,1.0
G36004700231002002,G36004700231002002,1.0,1.0
G36004700231002003,G36004700231002003,1.0,1.0
G36004700231003000,G36004700231003000,1.0,1.0
G36004700231003001,G36004700231003001,1.0,1.0
G36004700232001000,G36004700232001000,1.0,1.0
G36004700232001001,G36004700232001001,1.0,1.0
G36004700232001002,G36004700232001002,1.0,1.0
G36004700232002000,G36004700232002000,1.0,1.0
G36004700232002001,G36004700232002001,1.0,1.0
G36004700232002002,G36004700232002002,1.0,1.0
G36004700232003000,G36004700232003000,1.0,1.0
G36004700232003001,G36004700232003001,1.0,1.0
G36004700232004000,G36004700232004000,0.467625899281,0.62734598664
G36004700232004000,G36004700232004001,0.532374100719,0.37265401336
G36004700232004001,G36004700232004002,1.0,1.0
G36004700232005000,G36004700232005000,1.0,1.0
G36004700232005001,G36004700232005001,1.0,1.0
G36004700233001000,G36004700233001000,1.0,1.0
G36004700233001001,G36004700233001001,1.0,1.0
G36004700233001002,G36004700233001002,1.0,1.0
G36004700233002000,G36004700233002000,0.5774288564,0.527614794403
G36004700233002000,G36004700233002001,0.4225711436,0.472385205597
G36004700233003000,G36004700233003000,1.0,1.0
G36004700233003001,G36004700233002001,0.026105547328,0.017627726322
G36004700233003001,G36004700233003001,0.973894452672,0.982372273678
G36004700233003002,G36004700233003002,0.483146067416,0.565581886593
G36004700233003002,G36004700233003003,0.276404494382,0.290712258235
G36004700233003002,G36004700233003004,0.240449438202,0.143705855172
G36004700233003003,G36004700233003005,0.250902527076,0.172007633085
G36004700233003003,G36004700233003006,0.749097472924,0.827992366915
G36004700233003004,G36004700233003007,1.0,1.0
G36004700234001000,G36004700234001000,1.0,1.0
G36004700234001001,G36004700234001001,1.0,1.0
G36004700234001002,G36004700234001002,1.0,1.0
G36004700234002000,G36004700234002000,1.0,1.0
G36004700234002001,G36004700234002001,1.0,1.0
G36004700234002002,G36004700234002002,1.0,1.0
G36004700234003000,G36004700234003000,1.0,1.0
G36004700234003001,G36004700234003001,1.0,1.0
G36004700234003002,G36004700234003002,1.0,1.0
G36004700235001000,G36004700235001000,1.0,1.0
G36004700235001001,G36004700235001001,1.0,1.0
G36004700235001002,G36004700235001002,1.0,1.0
G36004700235001003,G36004700235001003,1.0,1.0
G36004700235002000,G36004700235002000,1.0,1.0
G36004700235002001,G36004700235002001,1.0,1.0
G36004700235002002,G36004700235002002,1.0,1.0
G36004700235002003,G36004700235002003,1.0,1.0
G36004700236001000,G36004700236001000,1.0,1.0
G36004700236001001,G36004700236001001,1.0,1.0
G36004700236001002,G36004700236001002,1.0,1.0
G36004700236002000,G36004700236002000,1.0,1.0
G36004700236002001,G36004700236002001,1.0,1.0
G36004700236003000,G36004700236003000,1.0,1.0
G36004700236003001,G36004700236003001,1.0,1.0
G36004700236004000,G36004700236004000,1.0,1.0
G36004700236004001,G36004700236004001,1.0,1.0
G36004700238001000,G36004700238001000,1.0,1.0
G36004700238001001,G36004700238001001,1.0,1.0
G36004700238001002,G36004700238001002,1.0,1.0
G36004700238002000,G36004700238002000,1.0,1.0
G36004700238002001,G36004700238002001,1.0,1.0
G36004700238002002,G36004700238002002,1.0,1.0
G36004700238003000,G36004700238003000,1.0,1.0
G36004700238003001,G36004700238003001,1.0,1.0
G36004700238003002,G36004700238003002,1.0,1.0
G36004700238003003,G36004700238003002,1.0,1.0
G36004700240001000,G36004700240001000,1.0,1.0
G36004700240001001,G36004700240001001,1.0,1.0
G36004700240002000,G36004700240002000,1.0,1.0
G36004700240002001,G36004700240002001,1.0,1.0
G36004700240002002,G36004700240002002,1.0,1.0
G36004700240002003,G36004700240002003,1.0,1.0
G36004700240002004,G36004700240002004,1.0,1.0
G36004700240002005,G36004700240002005,1.0,1.0
G36004700240002006,G36004700240002006,1.0,1.0
G36004700240003000,G36004700240003000,1.0,1.0
G36004700240003001,G36004700240003001,1.0,1.0
G36004700240003002,G36004700240003002,1.0,1.0
G36004700241001000,G36004700241001000,1.0,1.0
G36004700241001001,G36004700241001001,1.0,1.0
G36004700241001002,G36004700241001002,1.0,1.0
G36004700241001003,G36004700241001003,1.0,1.0
G36004700241001004,G36004700241001004,1.0,1.0
G36004700241001005,G36004700241001005,1.0,1.0
G36004700241001006,G36004700241001006,1.0,1.0
G36004700241002000,G36004700241002000,1.0,1.0
G36004700241002001,G36004700241002001,1.0,1.0
G36004700241002002,G36004700241002002,1.0,1.0
G36004700242001000,G36004700242001000,1.0,1.0
G36004700242001001,G36004700242001001,1.0,1.0
G36004700242001002,G36004700242001002,1.0,1.0
G36004700242001003,G36004700242001003,1.0,1.0
G36004700242001004,G36004700242001004,1.0,1.0
G36004700242001005,G36004700242001005,1.0,1.0
G36004700242002000,G36004700242002000,1.0,1.0
G36004700242002001,G36004700242002001,1.0,1.0
G36004700242002002,G36004700242002003,1.0,1.0
G36004700242002003,G36004700242002004,1.0,1.0
G36004700242002004,G36004700242002005,1.0,1.0
G36004700242002005,G36004700242002002,1.0,1.0
G36004700242002006,G36004700242002001,1.0,1.0
G36004700243001000,G36004700243001000,1.0,1.0
G36004700243001001,G36004700243001001,1.0,1.0
G36004700243001002,G36004700243001002,1.0,1.0
G36004700243002000,G36004700243002000,1.0,1.0
G36004700243002001,G36004700243002001,1.0,1.0
G36004700243003000,G36004700243003000,1.0,1.0
G36004700243003001,G36004700243003001,1.0,1.0
G36004700244001000,G36004700244001000,1.0,1.0
G36004700244001001,G36004700244001001,1.0,1.0
G36004700244002000,G36004700244002000,1.0,1.0
G36004700244002001,G36004700244002001,1.0,1.0
G36004700244002002,G36004700244002002,1.0,1.0
G36004700244003000,G36004700244003000,1.0,1.0
G36004700244003001,G36004700244003001,1.0,1.0
G36004700244003002,G36004700244003002,1.0,1.0
G36004700245001000,G36004700245001000,1.0,1.0
G36004700245001001,G36004700245001001,1.0,1.0
G36004700245002000,G36004700245002000,1.0,1.0
G36004700245002001,G36004700245002001,1.0,1.0
G36004700245003000,G36004700245003000,1.0,1.0
G36004700245004000,G36004700245004000,1.0,1.0
G36004700245004001,G36004700245004001,1.0,1.0
G36004700245004002,G36004700245004001,1.0,1.0
G36004700245004003,G36004700245004002,1.0,1.0
G36004700246001000,G36004700246001000,1.0,1.0
G36004700246001001,G36004700246001001,1.0,1.0
G36004700246001002,G36004700246001002,1.0,1.0
G36004700246002000,G36004700246002000,1.0,1.0
G36004700246002001,G36004700246002001,1.0,1.0
G36004700246002002,G36004700246002002,1.0,1.0
G36004700246003000,G36004700246003000,1.0,1.0
G36004700246003001,G36004700246003001,1.0,1.0
G36004700246003002,G36004700246003002,1.0,1.0
G36004700247001000,G36004700247001000,1.0,1.0
G36004700247001001,G36004700247001001,1.0,1.0
G36004700247001002,G36004700247001002,1.0,1.0
G36004700247001003,G36004700247001003,1.0,1.0
G36004700247002000,G36004700247002000,1.0,1.0
G36004700247002001,G36004700247002001,1.0,1.0
G36004700247002002,G36004700247002002,0.663316582915,0.744654651293
G36004700247002002,G36004700247002003,0.336683417085,0.255345348707
G36004700247002003,G36004700247002004,1.0,1.0
G36004700247002004,G36004700247002005,1.0,1.0
G36004700248001000,G36004700248001000,1.0,1.0
G36004700248001001,G36004700248001001,1.0,1.0
G36004700248001002,G36004700248001002,1.0,1.0
G36004700248001003,G36004700248001003,1.0,1.0
G36004700248001004,G36004700248001004,1.0,1.0
G36004700248001005,G36004700248001005,1.0,1.0
G36004700248002000,G36004700248002000,1.0,1.0
G36004700248002001,G36004700248002001,1.0,1.0
G36004700248002002,G36004700248002002,1.0,1.0
G36004700248002003,G36004700248002003,1.0,1.0
G36004700248002004,G36004700248002004,1.0,1.0
G36004700248002005,G36004700248002005,1.0,1.0
G36004700249001000,G36004700249001000,1.0,1.0
G36004700249001001,G36004700249001001,1.0,1.0
G36004700249002000,G36004700249002000,1.0,1.0
G36004700249002001,G36004700249002001,1.0,1.0
G36004700249003000,G36004700249003000,1.0,1.0
G36004700249003001,G36004700249003001,1.0,1.0
G36004700249004000,G36004700249004000,1.0,1.0
G36004700249004001,G36004700249004001,1.0,1.0
G36004700250001000,G36004700250001000,1.0,1.0
G36004700250001001,G36004700250001001,1.0,1.0
G36004700250001002,G36004700250001002,1.0,1.0
G36004700250001003,G36004700250001003,1.0,1.0
G36004700250001004,G36004700250001004,1.0,1.0
G36004700250001005,G36004700250001005,1.0,1.0
G36004700250001006,G36004700250001006,1.0,1.0
G36004700250001007,G36004700250001007,1.0,1.0
G36004700250002000,G36004700250002000,1.0,1.0
G36004700250002001,G36004700250002001,1.0,1.0
G36004700250002002,G36004700250002002,1.0,1.0
G36004700250002003,G36004700250002002,1.0,1.0
G36004700250002004,G36004700250002003,1.0,1.0
G36004700250002005,G36004700250002004,0.271714922049,0.307439375257
G36004700250002005,G36004700250002005,0.728285077951,0.692560624743
G36004700251001000,G36004700251001000,1.0,1.0
G36004700251001001,G36004700251001001,1.0,1.0
G36004700251002000,G36004700251002000,1.0,1.0
G36004700251002001,G36004700251002001,1.0,1.0
G36004700251003000,G36004700251003000,1.0,1.0
G36004700251003001,G36004700251003001,1.0,1.0
G36004700252001000,G36004700252001000,1.0,1.0
G36004700252001001,G36004700252001001,1.0,1.0
G36004700252002000,G36004700252002000,1.0,1.0
G36004700252002001,G36004700252002001,1.0,1.0
G36004700252003000,G36004700252003000,1.0,1.0
G36004700252003001,G36004700252003001,1.0,1.0
G36004700252003002,G36004700252003002,1.0,1.0
G36004700252003003,G36004700252003003,1.0,1.0
G36004700252003004,G36004700252003004,1.0,1.0
G36004700252004000,G36004700252004000,1.0,1.0
G36004700252004001,G36004700252004001,1.0,1.0
G36004700253001000,G36004700253001000,1.0,1.0
G36004700253001001,G36004700253001001,1.0,1.0
G36004700253002000,G36004700253002000,1.0,1.0
G36004700253002001,G36004700253002001,1.0,1.0
G36004700253003000,G36004700253003000,1.0,1.0
G36004700253003001,G36004700253003001,1.0,1.0
G36004700253003002,G36004700253003002,1.0,1.0
G36004700253003003,G36004700253003003,1.0,1.0
G36004700254001000,G36004700254001000,1.0,1.0
G36004700254001001,G36004700254001001,1.0,1.0
G36004700254001002,G36004700254001002,1.0,1.0
G36004700254002000,G36004700254002000,1.0,1.0
G36004700254002001,G36004700254002001,1.0,1.0
G36004700254002002,G36004700254002002,1.0,1.0
G36004700254002003,G36004700254002003,1.0,1.0
G36004700254003000,G36004700254003000,1.0,1.0
G36004700254003001,G36004700254003001,1.0,1.0
G36004700254003002,G36004700254003002,1.0,1.0
G36004700254003003,G36004700254003003,1.0,1.0
G36004700255001000,G36004700255001000,1.0,1.0
G36004700255002000,G36004700255002000,1.0,1.0
G36004700256001000,G36004700256001000,1.0,1.0
G36004700256001001,G36004700256001001,1.0,1.0
G36004700256001002,G36004700256001002,1.0,1.0
G36004700256001003,G36004700256001003,1.0,1.0
G36004700256001004,G36004700256001004,1.0,1.0
G36004700256001005,G36004700256001005,1.0,1.0
G36004700256002000,G36004700256002000,1.0,1.0
G36004700256002001,G36004700256002001,1.0,1.0
G36004700256002002,G36004700256002002,1.0,1.0
G36004700256002003,G36004700256002003,1.0,1.0
G36004700257001000,G36004700257001000,1.0,1.0
G36004700257001001,G36004700257001001,1.0,1.0
G36004700257001002,G36004700257001002,1.0,1.0
G36004700257001003,G36004700257001003,1.0,1.0
G36004700257002000,G36004700257002000,1.0,1.0
G36004700257002001,G36004700257002001,1.0,1.0
G36004700257003000,G36004700257003000,1.0,1.0
G36004700257003001,G36004700257003001,1.0,1.0
G36004700257003002,G36004700257003002,1.0,1.0
G36004700257003003,G36004700257003003,1.0,1.0
G36004700258001000,G36004700258001000,1.0,1.0
G36004700258001001,G36004700258001001,1.0,1.0
G36004700258001002,G36004700258001002,1.0,1.0
G36004700258002000,G36004700258002000,1.0,1.0
G36004700258002001,G36004700258002001,1.0,1.0
G36004700258002002,G36004700258002002,1.0,1.0
G36004700258003000,G36004700258003000,1.0,1.0
G36004700258003001,G36004700258003001,1.0,1.0
G36004700258003002,G36004700258003002,1.0,1.0
G36004700259011000,G36004700259011000,1.0,1.0
G36004700259011001,G36004700259011001,1.0,1.0
G36004700259011002,G36004700259011002,1.0,1.0
G36004700259011003,G36004700259011003,1.0,1.0
G36004700259021000,G36004700259021000,1.0,1.0
G36004700260001000,G36004700260001000,1.0,1.0
G36004700260001001,G36004700260001001,1.0,1.0
G36004700260001002,G36004700260001002,1.0,1.0
G36004700260002000,G36004700260002000,1.0,1.0
G36004700260002001,G36004700260002001,1.0,1.0
G36004700260003000,G36004700260003000,1.0,1.0
G36004700260003001,G36004700260003001,1.0,1.0
G36004700260003002,G36004700260003002,1.0,1.0
G36004700260003003,G36004700260003003,1.0,1.0
G36004700261001000,G36004700261001000,1.0,1.0
G36004700261001001,G36004700261001001,1.0,1.0
G36004700261002000,G36004700261002000,0.520578420467,0.605154949353
G36004700261002000,G36004700261002001,0.479421579533,0.394845050647
G36004700261002001,G36004700261002002,1.0,1.0
G36004700261003000,G36004700261003000,1.0,1.0
G36004700261003001,G36004700261003001,1.0,1.0
G36004700261004000,G36004700261004000,0.398230088496,0.521649691435
G36004700261004000,G36004700261004001,0.601769911504,0.478350308565
G36004700261004001,G36004700261004002,1.0,1.0
G36004700261005000,G36004700261005000,1.0,1.0
G36004700261005001,G36004700261005001,1.0,1.0
G36004700262001000,G36004700262001000,1.0,1.0
G36004700262001001,G36004700262001001,1.0,1.0
G36004700262001002,G36004700262001002,1.0,1.0
G36004700262001003,G36004700262001003,1.0,1.0
G36004700262001004,G36004700262001004,1.0,1.0
G36004700262002000,G36004700262002000,0.301136363636,0.24136500363
G36004700262002000,G36004700262002001,0.338068181818,0.400373405248
G36004700262002000,G36004700262002003,0.360795454545,0.358261591121
G36004700262002001,G36004700262002002,1.0,1.0
G36004700262002002,G36004700262002004,1.0,1.0
G36004700262002003,G36004700262002005,1.0,1.0
G36004700262002004,G36004700262002006,1.0,1.0
G36004700262002005,G36004700262002007,1.0,1.0
G36004700262002006,G36004700262002007,1.0,1.0
G36004700263001000,G36004700263001000,1.0,1.0
G36004700263001001,G36004700263001001,1.0,1.0
G36004700263001002,G36004700263001002,1.0,1.0
G36004700263001003,G36004700263001003,1.0,1.0
G36004700263001004,G36004700263001004,1.0,1.0
G36004700264001000,G36004700264001000,1.0,1.0
G36004700264001001,G36004700264001001,1.0,1.0
G36004700264002000,G36004700264002000,1.0,1.0
G36004700264002001,G36004700264002001,1.0,1.0
G36004700264003000,G36004700264003000,0.605997931748,0.634567453664
G36004700264003000,G36004700264003001,0.394002068252,0.365432546336
G36004700264003001,G36004700264003002,1.0,1.0
G36004700264003002,G36004700264003003,1.0,1.0
G36004700264003003,G36004700264003004,1.0,1.0
G36004700264003004,G36004700264003005,1.0,1.0
G36004700264004000,G36004700264004000,1.0,1.0
G36004700264004001,G36004700264004001,1.0,1.0
G36004700264004002,G36004700264004002,1.0,1.0
G36004700265001000,G36004700265001000,1.0,1.0
G36004700265001001,G36004700265001001,1.0,1.0
G36004700265002000,G36004700265002000,1.0,1.0
G36004700265002001,G36004700265002001,1.0,1.0
G36004700265003000,G36004700265003000,1.0,1.0
G36004700265003001,G36004700265003001,1.0,1.0
G36004700265004000,G36004700265004000,1.0,1.0
G36004700265004001,G36004700265004001,1.0,1.0
G36004700266001000,G36004700266001000,1.0,1.0
G36004700266001001,G36004700266001001,1.0,1.0
G36004700266001002,G36004700266001002,1.0,1.0
G36004700266002000,G36004700266002000,1.0,1.0
G36004700266002001,G36004700266002001,1.0,1.0
G36004700266002002,G36004700266002002,1.0,1.0
G36004700266003000,G36004700266003000,1.0,1.0
G36004700266003001,G36004700266003001,1.0,1.0
G36004700266003002,G36004700266003002,1.0,1.0
G36004700267001000,G36004700267001000,1.0,1.0
G36004700267001001,G36004700267001001,1.0,1.0
G36004700267002000,G36004700267002000,1.0,1.0
G36004700267002001,G36004700267002001,1.0,1.0
G36004700267003000,G36004700267003000,1.0,1.0
G36004700267003001,G36004700267003001,1.0,1.0
G36004700267003002,G36004700267003002,1.0,1.0
G36004700267004000,G36004700267004000,1.0,1.0
G36004700267004001,G36004700267004001,1.0,1.0
G36004700268001000,G36004700268001000,1.0,1.0
G36004700268001001,G36004700268001001,1.0,1.0
G36004700268002000,G36004700268002000,1.0,1.0
G36004700268002001,G36004700268002001,1.0,1.0
G36004700268002002,G36004700268002002,1.0,1.0
G36004700268002003,G36004700268002003,1.0,1.0
G36004700268003000,G36004700268003000,1.0,1.0
G36004700268003001,G36004700268003001,1.0,1.0
G36004700268003002,G36004700268003002,0.549043062201,0.4507902122
G36004700268003002,G36004700268003003,0.450956937799,0.5492097878
G36004700268004000,G36004700268004000,1.0,1.0
G36004700268004001,G36004700268004001,1.0,1.0
G36004700269001000,G36004700269001000,1.0,1.0
G36004700269001001,G36004700269001001,1.0,1.0
G36004700269002000,G36004700269002000,1.0,1.0
G36004700269002001,G36004700269002001,1.0,1.0
G36004700269003000,G36004700269003000,1.0,1.0
G36004700269003001,G36004700269003001,1.0,1.0
G36004700269003002,G36004700269003002,1.0,1.0
G36004700270001000,G36004700270001000,1.0,1.0
G36004700270001001,G36004700270001001,1.0,1.0
G36004700270001002,G36004700270001002,1.0,1.0
G36004700270002000,G36004700270002000,1.0,1.0
G36004700270002001,G36004700270002001,1.0,1.0
G36004700270002002,G36004700270002002,1.0,1.0
G36004700270002003,G36004700270002003,1.0,1.0
G36004700271001000,G36004700271001000,1.0,1.0
G36004700271001001,G36004700271001001,1.0,1.0
G36004700271001002,G36004700271001002,1.0,1.0
G36004700271001003,G36004700271001003,1.0,1.0
G36004700271001004,G36004700271001004,1.0,1.0
G36004700271001005,G36004700271001005,0.136276391555,0.479692980227
G36004700271001005,G36004700271001006,0.863723608445,0.520307019773
G36004700271002000,G36004700271002000,1.0,1.0
G36004700271002001,G36004700271002001,1.0,1.0
G36004700271002002,G36004700271002002,1.0,1.0
G36004700271002003,G36004700271002000,1.0,1.0
G36004700271002004,G36004700271002003,1.0,1.0
G36004700272001000,G36004700272001000,1.0,1.0
G36004700272001001,G36004700272001001,1.0,1.0
G36004700272002000,G36004700272002000,1.0,1.0
G36004700272002001,G36004700272002001,1.0,1.0
G36004700272003000,G36004700272003000,1.0,1.0
G36004700272003001,G36004700272003001,1.0,1.0
G36004700272003002,G36004700272003002,1.0,1.0
G36004700273001000,G36004700273001000,1.0,1.0
G36004700273001001,G36004700273001001,1.0,1.0
G36004700273002000,G36004700273002000,0.619047619048,0.919566485226
G36004700273002000,G36004700273002001,0.380952380952,0.080433514774
G36004700273002001,G36004700273002002,1.0,1.0
G36004700273003000,G36004700273003000,0.353133159269,0.347641077658
G36004700273003000,G36004700273003003,0.07637075718,0.092724079068
G36004700273003000,G36004700273003004,0.570496083551,0.559634843275
G36004700273003001,G36004700273003001,1.0,1.0
G36004700273003002,G36004700273003002,1.0,1.0
G36004700273003003,G36004700273003005,1.0,1.0
G36004700274001000,G36004700274001000,1.0,1.0
G36004700274001001,G36004700274001001,1.0,1.0
G36004700274001002,G36004700274001002,1.0,1.0
G36004700274001003,G36004700274001003,1.0,1.0
G36004700274002000,G36004700274002000,1.0,1.0
G36004700274002001,G36004700274002001,0.514957264957,0.529128576838
G36004700274002001,G36004700274002002,0.485042735043,0.470871423162
G36004700274002002,G36004700274002003,1.0,1.0
G36004700274002003,G36004700274002004,1.0,1.0
G36004700274002004,G36004700274002005,1.0,1.0
G36004700275001000,G36004700275001000,1.0,1.0
G36004700275001001,G36004700275001001,1.0,1.0
G36004700275002000,G36004700275002000,1.0,1.0
G36004700275002001,G36004700275002001,1.0,1.0
G36004700275002002,G36004700275002002,0.580287929125,0.542151162791
G36004700275002002,G36004700275002003,0.419712070875,0.457848837209
G36004700275003000,G36004700275003000,1.0,1.0
G36004700275003001,G36004700275003001,1.0,1.0
G36004700275004000,G36004700275004000,1.0,1.0
G36004700275004001,G36004700275004001,1.0,1.0
G36004700276001000,G36004700276001000,1.0,1.0
G36004700276001001,G36004700276001001,1.0,1.0
G36004700276002000,G36004700276002000,1.0,1.0
G36004700276002001,G36004700276002001,1.0,1.0
G36004700276003000,G36004700276003000,1.0,1.0
G36004700276003001,G36004700276003001,1.0,1.0
G36004700276003002,G36004700276003002,1.0,1.0
G36004700276003003,G36004700276003003,1.0,1.0
G36004700277001000,G36004700277001000,1.0,1.0
G36004700277001001,G36004700277001001,1.0,1.0
G36004700277002000,G36004700277002000,1.0,1.0
G36004700277002001,G36004700277002001,1.0,1.0
G36004700277003000,G36004700277003000,1.0,1.0
G36004700277003001,G36004700277003001,1.0,1.0
G36004700277004000,G36004700277004000,1.0,1.0
G36004700277004001,G36004700277004001,1.0,1.0
G36004700278001000,G36004700278001000,1.0,1.0
G36004700278001001,G36004700278001001,1.0,1.0
G36004700278001002,G36004700278001002,1.0,1.0
G36004700278001003,G36004700278001003,1.0,1.0
G36004700278001004,G36004700278001003,1.0,1.0
G36004700278002000,G36004700278002000,1.0,1.0
G36004700278002001,G36004700278002001,1.0,1.0
G36004700278002002,G36004700278002002,1.0,1.0
G36004700278002003,G36004700278002003,1.0,1.0
G36004700278002004,G36004700278002004,1.0,1.0
G36004700279001000,G36004700279001000,1.0,1.0
G36004700279001001,G36004700279001001,1.0,1.0
G36004700279002000,G36004700279002000,1.0,1.0
G36004700279002001,G36004700279002001,1.0,1.0
G36004700279003000,G36004700279003000,1.0,1.0
G36004700279003001,G36004700279003001,1.0,1.0
G36004700279004000,G36004700279004000,1.0,1.0
G36004700279004001,G36004700279004001,1.0,1.0
G36004700280000001,G36004700280000001,1.0,1.0
G36004700280001000,G36004700280001000,1.0,1.0
G36004700280001001,G36004700280001001,1.0,1.0
G36004700280001002,G36004700280001002,0.677104017107,0.677104017107
G36004700280001002,G36004700280001003,0.322895982893,0.322895982893
G36004700280001003,G36004700280001004,1.0,1.0
G36004700280002000,G36004700280002000,1.0,1.0
G36004700280002001,G36004700280002001,1.0,1.0
G36004700280002002,G36004700280002002,1.0,1.0
G36004700280002003,G36004700280002003,1.0,1.0
G36004700280002004,G36004700280002004,1.0,1.0
G36004700280002005,G36004700280002005,1.0,1.0
G36004700281001000,G36004700281001000,1.0,1.0
G36004700281001001,G36004700281001001,0.676509186352,0.701656113005
G36004700281001001,G36004700281001002,0.323490813648,0.298343886995
G36004700281002000,G36004700281002000,1.0,1.0
G36004700281002001,G36004700281002001,1.0,1.0
G36004700281003000,G36004700281003000,1.0,1.0
G36004700281003001,G36004700281003001,0.603174603175,0.574455296769
G36004700281003001,G36004700281003002,0.396825396825,0.425544703231
G36004700281003002,G36004700281003003,1.0,1.0
G36004700281003003,G36004700281003004,1.0,1.0
G36004700282000001,G36004700282000001,1.0,1.0
G36004700282001000,G36004700282001000,1.0,1.0
G36004700282001001,G36004700282001001,1.0,1.0
G36004700282001002,G36004700282001002,1.0,1.0
G36004700282001003,G36004700282001003,0.724953223337,0.724953223337
G36004700282001003,G36004700282001004,0.275046776663,0.275046776663
G36004700282001004,G36004700282001005,1.0,1.0
G36004700282002000,G36004700282002000,1.0,1.0
G36004700282002001,G36004700282002001,1.0,1.0
G36004700282002002,G36004700282002002,1.0,1.0
G36004700282002003,G36004700282002003,1.0,1.0
G36004700282003000,G36004700282003000,1.0,1.0
G36004700282003001,G36004700282003001,1.0,1.0
G36004700283001000,G36004700283001000,1.0,1.0
G36004700283001001,G36004700283001001,1.0,1.0
G36004700283002000,G36004700283002000,1.0,1.0
G36004700283002001,G36004700283002001,1.0,1.0
G36004700283003000,G36004700283003000,1.0,1.0
G36004700283003001,G36004700283003001,1.0,1.0
G36004700284001000,G36004700284001000,1.0,1.0
G36004700284001001,G36004700284001001,1.0,1.0
G36004700284002000,G36004700284002000,1.0,1.0
G36004700284002001,G36004700284002001,1.0,1.0
G36004700284002002,G36004700284002002,1.0,1.0
G36004700284003000,G36004700284003000,1.0,1.0
G36004700284003001,G36004700284003001,1.0,1.0
G36004700284003002,G36004700284003002,1.0,1.0
G36004700285011000,G36004700285011000,1.0,1.0
G36004700285011001,G36004700285011000,1.0,1.0
G36004700285011002,G36004700285011002,1.0,1.0
G36004700285011003,G36004700285011001,1.0,1.0
G36004700285021000,G36004700285021000,1.0,1.0
G36004700285021001,G36004700285021001,1.0,1.0
G36004700286000001,G36004700286000001,0.700897153857,0.700897153857
G36004700286000001,G36004700286000002,0.299102846143,0.299102846143
G36004700286001000,G36004700286001000,1.0,1.0
G36004700286001001,G36004700286001001,1.0,0.733357650921
G36004700286001001,G36004700286001002,0.0,0.266642349079
G36004700286001002,G36004700286001003,1.0,1.0
G36004700286002000,G36004700286002000,1.0,1.0
G36004700286003000,G36004700286003000,1.0,1.0
G36004700286004000,G36004700286004000,1.0,1.0
G36004700286004001,G36004700286004001,1.0,1.0
G36004700286004002,G36004700286004002,1.0,1.0
G36004700286005000,G36004700286005000,1.0,1.0
G36004700286005001,G36004700286005001,1.0,1.0
G36004700286005002,G36004700286005002,1.0,1.0
G36004700287001000,G36004700287001000,1.0,1.0
G36004700287001001,G36004700287001000,1.0,1.0
G36004700287001002,G36004700287001001,1.0,1.0
G36004700287001003,G36004700287001002,0.290404040404,0.559712866906
G36004700287001003,G36004700287001006,0.709595959596,0.440287133094
G36004700287001004,G36004700287001003,1.0,1.0
G36004700287001005,G36004700287001004,1.0,1.0
G36004700287001006,G36004700287001005,1.0,1.0
G36004700287002000,G36004700287002000,1.0,1.0
G36004700287002001,G36004700287002001,0.339933993399,0.1278600923
G36004700287002001,G36004700287002002,0.660066006601,0.8721399077
G36004700287003000,G36004700287003000,1.0,1.0
G36004700287003001,G36004700287003001,0.284450994842,0.130658886458
G36004700287003001,G36004700287003002,0.715549005158,0.869341113542
G36004700288001000,G36004700288001000,1.0,1.0
G36004700288001001,G36004700288001001,1.0,1.0
G36004700288001002,G36004700288001002,1.0,1.0
G36004700288002000,G36004700288002000,1.0,1.0
G36004700288002001,G36004700288002001,1.0,1.0
G36004700288003000,G36004700288003000,1.0,1.0
G36004700288003001,G36004700288003001,1.0,1.0
G36004700288003002,G36004700288003002,1.0,1.0
G36004700289001000,G36004700289001000,1.0,1.0
G36004700289001001,G36004700289001001,1.0,1.0
G36004700289001002,G36004700289001002,1.0,1.0
G36004700289001003,G36004700289001003,1.0,1.0
G36004700289002000,G36004700289002000,1.0,1.0
G36004700289002001,G36004700289002001,1.0,1.0
G36004700289003000,G36004700289003000,1.0,1.0
G36004700289003001,G36004700289003001,1.0,1.0
G36004700289004000,G36004700289004000,1.0,1.0
G36004700289004001,G36004700289004001,1.0,1.0
G36004700290001000,G36004700290001000,1.0,1.0
G36004700290001001,G36004700290001001,1.0,1.0
G36004700290002000,G36004700290002000,1.0,1.0
G36004700290002001,G36004700290002001,1.0,1.0
G36004700290003000,G36004700290003000,1.0,1.0
G36004700290003001,G36004700290003001,1.0,1.0
G36004700290003002,G36004700290003002,1.0,1.0
