GEOID10,GEOID20,WEIGHT,PAREA
360470013001011,360470013001007,0.0,0.110599078341
360470013001012,360470013001007,0.0,0.076206700738
360470013001012,360470013001008,1.0,0.923793299262
360470013001013,360470013001009,1.0,1.0
360470013001014,360470013001010,0.0,0.172973850901
360470013001014,360470013001011,1.0,0.754466460939
360470013001014,360470013001012,0.0,0.07255968816
360470013001015,360470013001001,0.0,0.148831553347
360470013001015,360470013001013,1.0,0.778206619435
360470013001015,360470013001014,0.0,0.072961827218
360470013001016,360470013001015,0.0,0.096758073584
360470013001016,360470013001016,0.0,0.165969142357
360470013001016,360470013001020,1.0,0.668186645012
360470013001016,360470013001023,0.0,0.069086139047
360470013001017,360470013001021,0.787897417882,0.787897417882
360470013001017,360470013001022,0.212102582118,0.212102582118
360470013002000,360470013002000,0.219800032782,0.219800032782
360470013002000,360470013002001,0.451401409605,0.451401409605
360470013002000,360470013002004,0.328798557614,0.328798557614
360470013002001,360470013002002,0.669187767182,0.669187767182
360470013002001,360470013002003,0.330812232818,0.330812232818
360470013002002,360470013002005,1.0,1.0
360470013002003,360470013002006,1.0,1.0
360470015001000,360470015011000,1.0,1.0
360470015001001,360470015011001,1.0,1.0
360470015001002,360470015011002,1.0,1.0
360470015001003,360470015011007,1.0,1.0
360470015001004,360470015011003,1.0,1.0
360470015001005,360470015011004,1.0,0.991500135636
360470015001005,360470015012001,0.0,0.001356361335
360470015001005,360470015012002,0.0,0.007143503029
360470015001006,360470015011005,0.0,0.139970990468
360470015001006,360470015011010,1.0,0.860029009532
360470015001007,360470015011006,0.0,0.194027244149
360470015001007,360470015011011,1.0,0.805972755851
360470015001008,360470015011007,0.033863368669,0.033863368669
360470015001008,360470015011008,0.174813506086,0.174813506086
360470015001008,360470015011009,0.791323125245,0.791323125245
360470015002000,360470015012000,1.0,1.0
360470015002001,360470015012001,0.114650151147,0.114650151147
360470015002001,360470015012002,0.885349848853,0.885349848853
360470015002002,360470015012001,0.05476540788,0.05476540788
360470015002002,360470015012002,0.045610593428,0.045610593428
360470015002002,360470015012003,0.899623998692,0.899623998692
360470015002003,360470015012004,1.0,1.0
360470015002004,360470015012005,1.0,1.0
360470015002005,360470015012005,1.0,1.0
360470015002006,360470015012006,1.0,1.0
360470015002007,360470015012009,1.0,1.0
360470015002008,360470015012005,1.0,1.0
360470015002009,360470015012012,1.0,1.0
360470015002010,360470015012011,1.0,1.0
360470015002011,360470015012008,1.0,1.0
360470015002012,360470015012007,1.0,1.0
360470015002013,360470015012010,1.0,1.0
360470015002014,360470015012011,1.0,1.0
360470015003000,360470015021000,1.0,1.0
360470015003001,360470015021001,1.0,1.0
360470015003002,360470015021002,0.10365889128,0.10365889128
360470015003002,360470015021003,0.13274387761,0.13274387761
360470015003002,360470015021004,0.763597231109,0.763597231109
360470015003003,360470015021002,0.010386740331,0.010386740331
360470015003003,360470015021008,0.087366482505,0.087366482505
360470015003003,360470015021013,0.902246777164,0.902246777164
360470015003004,360470015021009,1.0,1.0
360470015003005,360470015021014,1.0,1.0
360470015003006,360470015021015,1.0,1.0
360470015003007,360470015021012,1.0,1.0
360470015003008,360470015021010,0.0,0.043310105691
360470015003008,360470015021011,0.985611510791,0.886140099357
360470015003008,360470015021016,0.014388489209,0.070549794952
360470015003009,360470015021018,1.0,1.0
360470015003010,360470015021006,0.321492644421,0.321492644421
360470015003010,360470015021007,0.678507355579,0.678507355579
360470015003011,360470015021000,0.029618631805,0.01906288972
360470015003011,360470015021005,0.970381368195,0.98093711028
360470015003012,360470015021017,1.0,1.0
360470018000001,360470018010001,1.0,1.0
360470018000002,360470018010001,1.0,1.0
360470018000003,360470018010002,0.043978400705,0.043978400705
360470018000003,360470018020001,0.203638137353,0.203638137353
360470018000003,360470018030001,0.752383461942,0.752383461942
360470018000004,360470018030002,1.0,1.0
360470018000005,360470018040001,1.0,1.0
360470018001000,360470018011000,0.09928762244,0.09928762244
360470018001000,360470018011001,0.552537845058,0.552537845058
360470018001000,360470018011002,0.348174532502,0.348174532502
360470018001001,360470018011005,1.0,1.0
360470018001002,360470018011005,1.0,1.0
360470018001003,360470018011007,0.378982843137,0.378982843137
360470018001003,360470018011008,0.621017156863,0.621017156863
360470018001004,360470018011004,0.682308614489,0.682308614489
360470018001004,360470018011007,0.317691385511,0.317691385511
360470018001005,360470018011002,0.0,0.004165500252
360470018001005,360470018011003,1.0,0.995834499748
360470018001006,360470018021000,1.0,1.0
360470018001007,360470018011003,1.0,1.0
360470018001008,360470018011004,1.0,1.0
360470018001009,360470018011007,0.0,0.595192307692
360470018001009,360470018011009,1.0,0.404807692308
360470018001010,360470018012002,0.164091912242,0.164091912242
360470018001010,360470018012003,0.139166558484,0.139166558484
360470018001010,360470018021008,0.332727508763,0.332727508763
360470018001010,360470018021009,0.364014020511,0.364014020511
360470018001011,360470018021008,0.438461538462,0.438461538462
360470018001011,360470018021009,0.561538461538,0.561538461538
360470018001012,360470018012001,0.18193920568,0.18193920568
360470018001012,360470018021007,0.81806079432,0.81806079432
360470018001013,360470018012000,1.0,1.0
360470018001014,360470018011010,1.0,1.0
360470018001015,360470018021003,1.0,1.0
360470018001016,360470018021000,1.0,1.0
360470018001017,360470018021000,1.0,1.0
360470018001018,360470018021000,1.0,1.0
360470018001019,360470018021000,1.0,1.0
360470018001020,360470018021000,1.0,1.0
360470018001021,360470018021000,1.0,1.0
360470018001022,360470018021000,1.0,1.0
360470018001023,360470018021005,1.0,1.0
360470018001024,360470018021006,1.0,1.0
360470018001025,360470018021001,1.0,1.0
360470018001026,360470018021004,1.0,1.0
360470018001027,360470018021011,1.0,1.0
360470018001028,360470018021010,0.0,0.148216480403
360470018001028,360470018031000,1.0,0.851783519597
360470018001029,360470018031004,1.0,1.0
360470018001030,360470018031002,1.0,1.0
360470018001031,360470018031003,1.0,1.0
360470018001032,360470018031005,1.0,1.0
360470018001033,360470018031001,1.0,1.0
360470018001034,360470018021011,1.0,1.0
360470018001035,360470018031006,1.0,1.0
360470018001036,360470018041000,1.0,1.0
360470018001037,360470018041000,1.0,1.0
360470018001038,360470018041001,1.0,1.0
360470018001039,360470018041001,1.0,1.0
360470018001040,360470018031009,1.0,1.0
360470018001041,360470018031010,1.0,1.0
360470018001042,360470018031008,1.0,1.0
360470018001043,360470018031007,1.0,1.0
360470018001044,360470018021002,1.0,1.0
360470018001045,360470018011006,1.0,1.0
360470018001046,360470018011006,1.0,1.0
360470020001000,360470020001000,1.0,1.0
360470020001001,360470020001001,1.0,1.0
360470020001002,360470020001002,1.0,1.0
360470020001003,360470020001003,1.0,1.0
360470020001004,360470020001003,1.0,1.0
360470020001005,360470020001004,1.0,1.0
360470020001006,360470020001005,0.0,0.44596716631
360470020001006,360470020001006,1.0,0.55403283369
360470020001007,360470020001007,0.561272217025,0.561272217025
360470020001007,360470020001008,0.438727782975,0.438727782975
360470020002000,360470020002000,1.0,1.0
360470020002001,360470020002001,1.0,1.0
360470020002002,360470020002002,1.0,1.0
360470020002003,360470020002002,1.0,1.0
360470020002004,360470020002005,1.0,1.0
360470020002005,360470020002004,0.0,0.4523591388
360470020002005,360470020002007,1.0,0.5476408612
360470020002006,360470020002003,0.565934065934,0.565934065934
360470020002006,360470020002006,0.434065934066,0.434065934066
360470021001000,360470021001000,1.0,1.0
360470021001001,360470021001001,1.0,1.0
360470021001002,360470021001001,1.0,1.0
360470021001003,360470021001009,1.0,1.0
360470021001004,360470021001006,1.0,1.0
360470021001005,360470021001004,1.0,0.850375505488
360470021001005,360470021001005,0.0,0.149624494512
360470021001006,360470021001002,0.177336425043,0.177336425043
360470021001006,360470021001003,0.822663574957,0.822663574957
360470021001007,360470021001001,1.0,1.0
360470021001008,360470021001017,1.0,1.0
360470021001009,360470021001010,1.0,1.0
360470021001010,360470021001011,1.0,1.0
360470021001011,360470021001008,1.0,1.0
360470021001012,360470021001007,0.273701124799,0.273701124799
360470021001012,360470021001016,0.726298875201,0.726298875201
360470021001013,360470021001014,0.240882788319,0.240882788319
360470021001013,360470021001015,0.759117211681,0.759117211681
360470021001014,360470021001008,0.010875127943,0.010875127943
360470021001014,360470021001012,0.120777891505,0.120777891505
360470021001014,360470021001013,0.868346980553,0.868346980553
360470021002000,360470021002000,1.0,0.994499915383
360470021002000,360470021002002,0.0,0.005500084617
360470021002001,360470021002001,1.0,1.0
360470021002002,360470021002005,1.0,1.0
360470021002003,360470021002006,1.0,1.0
360470021002004,360470021002007,1.0,1.0
360470021002005,360470021002008,1.0,1.0
360470021002006,360470021002002,0.272756513348,0.272756513348
360470021002006,360470021002003,0.277259568993,0.277259568993
360470021002006,360470021002004,0.449983917658,0.449983917658
360470021002007,360470021002000,1.0,0.455882352941
360470021002007,360470021002002,0.0,0.256470588235
360470021002007,360470021002003,0.0,0.287647058824
360470021002008,360470021002016,1.0,1.0
360470021002009,360470021002015,1.0,1.0
360470021002010,360470021002013,0.198702351987,0.198702351987
360470021002010,360470021002014,0.801297648013,0.801297648013
360470021002011,360470021002013,0.32320441989,0.32320441989
360470021002011,360470021002014,0.67679558011,0.67679558011
360470021002012,360470021002009,1.0,0.237688098495
360470021002012,360470021002010,0.0,0.476744186047
360470021002012,360470021002011,0.0,0.285567715458
360470021002013,360470021002009,1.0,1.0
360470021002014,360470021002011,0.0,0.079622132254
