"GEOID","pop_asian_2010","pop_asian_2020"
"360470133004",80,157
"360470134001",330,488
"360470134002",116,177
"360470134003",135,277
"360470135001",53,70
"360470135002",107,142
"360470135003",124,144
"360470136001",156,159
"360470136002",127,159
"360470136003",79,112
"360470136004",98,127
"360470137001",18,92
"360470137002",50,103
"360470137003",77,85
"360470138001",208,215
"360470138002",89,110
"360470138003",98,107
"360470139001",30,74
"360470139002",72,91
"360470139003",85,99
"360470139004",28,55
"360470140001",78,192
"360470140002",79,166
"360470141011",99.9813270390768,176
"360470141021",71.7118605789137,114
"360470141022",67.3068123820095,117
"360470142001",146,198
"360470142002",142,163
"360470142003",165,182
"360470143001",76,118
"360470143002",92,151
"360470143003",91,84
"360470145001",97,56
"360470145002",36,83
"360470145003",32,77
"360470145004",48,89
"360470147001",24,51
"360470147002",89,76
"360470148001",52,72
"360470148002",35,97
"360470149011",51.9142276422764,86
"360470149012",37.1968834688347,53
"360470149021",87.8888888888889,126
"360470149022",28,69
"360470149023",91,110
"360470150001",117,241
"360470150002",63,254
"360470151001",54,70
"360470151002",63,105
"360470151003",80,49
"360470151004",33,45
"360470152001",81,137
"360470152002",89,176
"360470152003",184,252
"360470153001",81,28
"360470153002",48,71
"360470153003",38,55
"360470153004",41,47
"360470154001",0,0
"360470155001",36,32
"360470155002",66,72
"360470155003",36,79
"360470155004",38,42
"360470157001",47,60
"360470157002",67,64
"360470157003",81,83
"360470157004",63,97
"360470159001",60,69
"360470159002",31,69
"360470159003",41,58
"360470159004",63,88
"360470159005",3.89888475836431,0
"360470159006",65.1011152416357,104
"360470160001",167,247
"360470160002",241,251
"360470160003",230,296
"360470160004",133,104
"360470161001",70.9017199017199,106
"360470161002",0,0
"360470161003",70,135
"360470161004",68.0982800982801,89
"360470162001",98,137
"360470162002",163,169
"360470163001",0,0
"360470163002",88.0451612903226,279
"360470163003",77.1920181968569,75
"360470163004",37.7628205128205,63
"360470164000",0,0
"360470164001",52,83
"360470165001",63,108
"360470165002",91,99
"360470165003",42,95
"360470165004",40,63
"360470166001",26,110
"360470166002",54,142
"360470167001",55,65
"360470167002",42,47
"360470167003",48,69
"360470167004",84,99
"360470168000",0,0
"360470168001",243,531
"360470169001",55,65
"360470169002",182,263
"360470169003",46,56
"360470169004",105,94
"360470169005",62,69
"360470170001",262,419
"360470170002",457,609
"360470170003",337,502
"360470171001",112,96
