"GEOID","pop_2010_asian","pop_2010_total","pop_2020_asian","pop_2020_total"
"360470077001",89,924,147,1926
"360470077002",77,881,69,1163
"360470077003",76,1211,126,1568
"360470077004",40,885,76,1033
"360470078001",87,1393,129,1356
"360470078002",112,1369,220,1547
"360470078003",191,1141,263,1232
"360470078004",113,1165,127,1198
"360470080001",128,1725,170,1644
"360470080002",110,1530,160,1294
"360470080003",91,914,178,1086
"360470082001",139,1483,105,1377
"360470082002",219,1570,310,1633
"360470082003",33,1088,37,998
"360470084001",44,1091,60,1071
"360470084002",87,1248,106,1193
"360470084003",87,960,61,1047
"360470085001",46,2605,85,2513
"360470085002",33,1928,111,1819
"360470085003",53,2423,188,2341
"360470086001",0,0,0,0
"360470088001",126,2011,158,1885
"360470088002",160,1196,376,1373
"360470090011",586,1577,641,1886
"360470090021",726,1417,609,1391
"360470092011",331.107837360047,698,255,674
"360470092012",475.124252988492,1203,818,1413
"360470092021",981.053798472475,2426,1054,2348
"360470092022",464.714111178986,1061,473,1076
"360470094011",845,1587,974,1577
"360470094012",1068.37516059957,1464,1272,1550
"360470094021",566.980350504514,1181,935,1338
"360470094022",972.644488895914,1573,1047,1830
"360470096001",500,1499,681,1681
"360470096002",672,1737,882,1811
"360470096003",293,1305,329,1366
"360470096004",159,1585,231,1604
"360470098001",521,2115,756,2077
"360470098002",661,1771,770,1914
"360470098003",1081,1537,1430,1899
"360470098004",611,1601,708,1550
"360470100001",989,1583,1226,1842
"360470100002",1249,1761,1539,2028
"360470100003",857,1814,1253,2158
"360470100004",438,1579,685,1713
"360470101001",86,1386,106,1415
"360470101002",69,1606,73,1749
"360470101003",60,1101,123,1426
"360470102001",1810,2472,2338,2879
"360470102002",908,1320,1162,1607
"360470102003",856,1830,1210,2092
"360470104011",1194.90526315789,1357,1201,1384
"360470104012",1356.26140350877,1729,1405,1631
"360470104021",979.745782033744,1247,1155,1396
"360470104022",1381.08755129959,1575,1292,1569
"360470106011",1260,1663,1253,1583
"360470106012",1345.06097560976,1596,1148,1454
"360470106021",1194.92845356572,1430,1310,1391
"360470106022",963.010570824524,1162,1255,1429
"360470108011",820.13288590604,1117,977,1210
"360470108012",1259.12471757795,1507,1404,1666
"360470108021",1041.86323422928,1485,1324,1650
"360470108022",736.879162286731,1171,806,1190
"360470110001",290,1078,279,1175
"360470110002",484,1363,517,1534
"360470112001",627,2225,620,2479
"360470112002",174,1001,324,1013
"360470112003",154,1438,337,1411
"360470112004",485,1772,687,1733
"360470114001",150,1473,363,1644
"360470114002",288,1325,400,1458
"360470114003",373,1178,350,1048
"360470116001",983,1588,1349,1905
"360470116002",1762,2033,1881,2141
"360470116003",910,1195,1166,1483
"360470117001",35,731,125,1073
"360470117002",60.6534653465347,861,45,818
"360470117003",78.3465346534653,772,85,781
"360470118001",0,0,8,35
"360470118002",1008,1211,1189,1407
"360470118003",749,1042,841,1136
"360470119011",31,384,34,352
"360470119012",38,1146,92,1237
"360470119021",0,0,0,0
"360470120001",1020,1268,909,1176
"360470121001",46,853,120,1121
"360470121002",57,766,109,795
"360470122001",734,1974,729,1962
"360470122002",641,1771,807,1852
"360470122003",0,0,0,0
"360470122004",739,1594,874,1707
"360470126001",287,1170,301,1245
"360470126002",427,875,534,1125
"360470126003",197,607,264,715
"360470127001",52,1152,99,1263
"360470127002",66,972,123,1481
"360470127003",14,1383,53,1292
"360470128011",1213,2117,1803,2567
"360470129011",0,0,4,52
"360470129012",64,884,88,912
"360470129013",45,517,76,628
"360470129014",32,758,104,741
"360470129021",27,753,57,756
"360470129022",75,1211,262,2562
"360470130001",318,1035,385,1232
"360470130002",162,1336,196,1414
"360470130003",145,1091,193,1241
"360470130004",280,1330,334,1460
"360470131001",74,969,87,1017
"360470131002",70,973,90,967
"360470131003",50,800,69,854
"360470131004",60,1086,84,1141
"360470132001",281,928,546,1054
"360470132002",544,1311,1084,1816
"360470133001",77,930,115,1019
"360470133002",68,1181,119,1244
"360470133003",37,809,79,995
"360470133004",80,810,157,1153
"360470134001",330,1292,488,1506
"360470134002",116,1323,177,1307
"360470134003",135,1292,277,1399
"360470135001",53,1021,70,1137
"360470135002",107,1309,142,1390
"360470135003",124,1266,144,1272
"360470136001",156,986,159,1065
"360470136002",127,985,159,1028
"360470136003",79,886,112,831
"360470136004",98,1070,127,1155
"360470137001",18,822,92,1091
"360470137002",50,905,103,1029
"360470137003",77,1330,85,1286
"360470138001",208,1480,215,1541
"360470138002",89,926,110,857
"360470138003",98,762,107,849
"360470139001",30,804,74,909
"360470139002",72,1113,91,1179
"360470139003",85,832,99,879
"360470139004",28,732,55,760
"360470140001",78,904,192,1016
"360470140002",79,922,166,1120
"360470141011",99.9813270390768,1356,176,1621
"360470141021",71.7118605789137,846,114,886
"360470141022",67.3068123820095,815,117,972
"360470142001",146,1070,198,1251
"360470142002",142,959,163,958
"360470142003",165,1194,182,1225
"360470143001",76,1301,118,1256
"360470143002",92,1053,151,1336
"360470143003",91,1133,84,1113
"360470145001",97,1177,56,1238
"360470145002",36,1220,83,1221
"360470145003",32,890,77,973
"360470145004",48,892,89,972
"360470147001",24,733,51,715
"360470147002",89,1351,76,1527
"360470148001",52,590,72,550
"360470148002",35,619,97,694
"360470149011",51.9142276422764,814,86,834
"360470149012",37.1968834688347,676,53,695
"360470149021",87.8888888888889,1396,126,1479
"360470149022",28,997,69,960
"360470149023",91,1093,110,1162
"360470150001",117,805,241,882
"360470150002",63,769,254,909
"360470151001",54,847,70,903
"360470151002",63,1055,105,1042
"360470151003",80,1015,49,1019
"360470151004",33,661,45,732
"360470152001",81,640,137,673
"360470152002",89,715,176,840
"360470152003",184,954,252,1032
"360470153001",81,673,28,137
"360470153002",48,840,71,911
"360470153003",38,771,55,819
"360470153004",41,757,47,766
"360470154001",0,0,0,9
"360470155001",36,652,32,704
"360470155002",66,922,72,975
"360470155003",36,1009,79,1027
"360470155004",38,689,42,760
"360470157001",47,896,60,1043
"360470157002",67,913,64,1030
"360470157003",81,1350,83,1323
"360470157004",63,976,97,1051
"360470159001",60,963,69,984
"360470159002",31,928,69,911
"360470159003",41,851,58,929
"360470159004",63,949,88,988
"360470159005",3.89888475836431,76,0,0
"360470159006",65.1011152416357,1269,104,1394
"360470160001",167,1155,247,1333
"360470160002",241,1119,251,1007
"360470160003",230,1088,296,1178
"360470160004",133,855,104,944
"360470161001",70.9017199017199,1085,106,1152
"360470161002",0,0,0,0
"360470161003",70,976,135,1191
"360470161004",68.0982800982801,1014,89,1107
"360470162001",98,910,137,1027
"360470162002",163,1172,169,1191
"360470163001",0,0,0,0
"360470163002",88.0451612903226,870,279,1907
"360470163003",77.1920181968569,1436,75,1417
"360470163004",37.7628205128205,685,63,764
"360470164000",0,0,0,0
"360470164001",52,764,83,775
"360470165001",63,1248,108,1179
"360470165002",91,1558,99,1449
"360470165003",42,1332,95,1463
"360470165004",40,1003,63,989
"360470166001",26,1031,110,1006
"360470166002",54,1028,142,962
"360470167001",55,1023,65,1059
"360470167002",42,1026,47,1011
"360470167003",48,1198,69,1239
"360470167004",84,1391,99,1445
"360470168000",0,0,0,0
"360470168001",243,1510,531,1695
"360470169001",55,807,65,831
"360470169002",182,1162,263,1144
"360470169003",46,739,56,830
"360470169004",105,1065,94,991
"360470169005",62,724,69,663
"360470170001",262,839,419,959
"360470170002",457,1263,609,1374
"360470170003",337,1152,502,1271
"360470171001",112,1355,96,1238
"360470171002",28,769,29,742
"360470171003",60,836,61,865
"360470171004",77,789,76,872
"360470172001",653,1577,894,1802
"360470172002",353,1354,624,1498
"360470174000",0,0,0,0
"360470174001",256,981,421,1020
"360470174002",230,812,305,930
"360470175001",0,5,2,5
"360470176000",0,0,0,0
"360470176001",266,937,433,1074
"360470176002",378,1358,480,1344
"360470177001",0,0,0,15
"360470178001",481,1340,508,1324
"360470178002",649,1558,830,1635
"360470179001",13,1451,52,1417
"360470179002",108,1438,173,1739
"360470179003",47,735,70,739
"360470180001",561,1468,616,1447
"360470180002",489,1725,704,1678
"360470181001",49,878,97,1046
"360470181002",43,887,68,846
"360470181003",82,1172,75,1213
"360470181004",69,999,100,1099
"360470182001",466,990,743,1228
"360470182002",1139,2173,1462,2517
"360470183001",76,1096,69,1208
